"gcm","scenario","year","dist","q05","q17","q50","q83","q95","mean"
"ALL (uniform GCM prior)","ssp534-over",2040,"posterior",-2.68939413792197,-0.376208661286009,4.3901501635422,13.0767167189344,21.6086745881927,6.31659092434606
"CESM2-WACCM","ssp585",2040,"prior",-4.32419548132584,-1.70918038334602,0.86102174468852,3.32760174001708,4.81313674767409,0.707880860972628
"CESM2-WACCM","ssp585",2040,"posterior",-2.3820804568643,-0.676434871932855,1.58732356581934,3.98292197148518,5.23768969543186,1.55670755974807
"MRI-ESM2-0","ssp585",2040,"prior",-0.464396396657155,1.46898626956911,4.71768140711796,9.0588006521457,12.132965871532,5.1370257053285
"MRI-ESM2-0","ssp585",2040,"posterior",0.393307537516454,2.34845313728215,5.59157338680994,9.70820739754528,12.4320715926153,5.92118891937624
"EC-Earth3-Veg","ssp585",2040,"prior",-5.66085662915735,-3.30708569355816,0.88742353275644,6.74229624751711,10.0197902387176,1.47228078062311
"EC-Earth3-Veg","ssp585",2040,"posterior",-3.87771947305421,-1.40920010227834,3.43446044260579,8.60552416740881,11.089523748215,3.5254981469038
"MIROC-ES2L","ssp585",2040,"prior",8.09689584311277,11.0164995743657,18.0008109758775,31.3395679696916,38.0401561071815,20.3453370932826
"MIROC-ES2L","ssp585",2040,"posterior",8.2576911930636,10.5985903598063,14.5388449172065,21.1365012450163,27.1738030973501,15.7288162732011
"ALL (uniform GCM prior)","ssp585",2040,"prior",-3.8125110535459,-0.727751681168106,3.94516989158011,14.0129700061475,29.8677608899774,6.91563111005172
"ALL (uniform GCM prior)","ssp585",2040,"posterior",-2.08912510466007,0.486352215323979,5.08750137399691,12.916971285841,20.1931316295354,6.68305272480736
"CESM2-WACCM","ssp126",2045,"prior",-7.44282912341315,-4.61478833334095,-0.950159550667968,2.78620967430729,5.11741218502802,-1.00431746942778
"CESM2-WACCM","ssp126",2045,"posterior",-5.80013542234496,-3.65189222051186,-0.428979829068853,2.84819570520114,4.93864932951331,-0.455053113181379
"MRI-ESM2-0","ssp126",2045,"prior",-3.5617717745814,-1.52054321931499,2.1213706852225,6.54222594461957,9.68448770319484,2.45886391381673
