"scenario","year","term","fraction"
"ssp585",2220,"Residuals",0.745470317125962
"ssp585",2225,"gcm",0.25276215103324
"ssp585",2225,"Residuals",0.74723784896676
"ssp585",2230,"gcm",0.252159445568639
"ssp585",2230,"Residuals",0.747840554431361
"ssp585",2235,"gcm",0.252299309744975
"ssp585",2235,"Residuals",0.747700690255025
"ssp585",2240,"gcm",0.251903410574444
"ssp585",2240,"Residuals",0.748096589425556
"ssp585",2245,"gcm",0.253726653996154
"ssp585",2245,"Residuals",0.746273346003846
"ssp585",2250,"gcm",0.252876783870075
"ssp585",2250,"Residuals",0.747123216129925
"ssp585",2255,"gcm",0.253050526422941
"ssp585",2255,"Residuals",0.746949473577059
"ssp585",2260,"gcm",0.253929635294883
"ssp585",2260,"Residuals",0.746070364705117
"ssp585",2265,"gcm",0.253622684079047
"ssp585",2265,"Residuals",0.746377315920953
"ssp585",2270,"gcm",0.253050866147846
"ssp585",2270,"Residuals",0.746949133852154
"ssp585",2275,"gcm",0.254550418299921
"ssp585",2275,"Residuals",0.745449581700079
"ssp585",2280,"gcm",0.256401336187195
"ssp585",2280,"Residuals",0.743598663812805
"ssp585",2285,"gcm",0.256642807422216
"ssp585",2285,"Residuals",0.743357192577784
"ssp585",2290,"gcm",0.259004609646407
"ssp585",2290,"Residuals",0.740995390353593
"ssp585",2295,"gcm",0.259405052792071
"ssp585",2295,"Residuals",0.740594947207929
"ssp585",2300,"gcm",0.259632350679756
"ssp585",2300,"Residuals",0.740367649320244
