"scenario","year","input","S","T"
"ssp534-over",2025,"m",0.0413424622778294,0.0449870700836671
"ssp534-over",2025,"uf",0.0105679033760041,0.00576585126190177
"ssp534-over",2025,"gamma",0.0486026928004938,0.15431997602325
"ssp534-over",2025,"UMV",0.00974274297707825,0.00337198768613534
"ssp534-over",2025,"forcing",0.744670897677248,0.863736684518319
"ssp534-over",2030,"aPhi",0.0372197288892203,0.0489495121014304
"ssp534-over",2030,"n",0.013744496140294,0.0119101077053561
"ssp534-over",2030,"m",0.0405524986215234,0.0430639517362106
"ssp534-over",2030,"uf",0.010811702680935,0.00520993758312105
"ssp534-over",2030,"gamma",0.0707012219986127,0.16251619836715
"ssp534-over",2030,"UMV",0.00973013805812986,0.00269885052276864
"ssp534-over",2030,"forcing",0.750222621890581,0.856111713968644
"ssp534-over",2035,"aPhi",0.035716346930876,0.0450777337881577
"ssp534-over",2035,"n",0.01301528134955,0.00983226012039151
"ssp534-over",2035,"m",0.039116339428695,0.040840110406313
"ssp534-over",2035,"uf",0.010794302938442,0.00472587383852419
"ssp534-over",2035,"gamma",0.0952029819237949,0.174363652878561
"ssp534-over",2035,"UMV",0.00952627843260423,0.00217728318506516
"ssp534-over",2035,"forcing",0.745410915680158,0.838623372628195
"ssp534-over",2040,"aPhi",0.0320059651386891,0.0390951865756024
"ssp534-over",2040,"n",0.0115766239287717,0.00767027450688162
"ssp534-over",2040,"m",0.0362303640786367,0.0372222814734933
"ssp534-over",2040,"uf",0.0103832105676673,0.00423900616632378
"ssp534-over",2040,"gamma",0.106290985674273,0.174638706139385
"ssp534-over",2040,"UMV",0.00903783530650914,0.00175892998907123
"ssp534-over",2040,"forcing",0.755508536583301,0.837664691665982
"ssp534-over",2045,"aPhi",0.035044037117391,0.0410010940027896
"ssp534-over",2045,"n",0.0110180091235927,0.00692659586872502
"ssp534-over",2045,"m",0.0313413469666313,0.0320291700086808
"ssp534-over",2045,"uf",0.00960368447347567,0.00355914955533998
"ssp534-over",2045,"gamma",0.164491307678582,0.217301336869661
